adj,freq,class,subjectivity,best performing,difference lex-sub,input_score,lexical_score,sub_score,p2exp_d,age,input strings,output strings
cute,5,value,0.787272727,input,0.00561920747281619,0.91666666666666663,0.87075822812522807,0.86513902065241188,"[0.9166666666666666, 0.87075822812522807, 0.86513902065241188]",2,"cute little ,cute red ,cute little ,cute little ,cute red ,","cute little ,"
mexican,2,nationality,0.283076923,input,-0.15573710700999344,0.5,0.0041578525056532208,0.15989495951564667,"[0.5, 0.0041578525056532208, 0.15989495951564667]",2,"mexican green ,good mexican ,","mexican green ,"
cheap,9,value,0.77125,lexical,0.011244979919678766,0.84999999999999998,0.87097480832420593,0.85972982840452716,"[0.85, 0.87097480832420593, 0.85972982840452716]",2,"cheap red ,cheap red ,cheap soft ,cheap new ,dirty cheap ,cheap little ,cheap green ,cheap little ,cheap red ,","cheap old ,"
yellow,78,color,0.343333333,input,0.16014680562031564,0.65833428071920919,0.19393492208682081,0.033788116466505161,"[0.03164556962025317, 0.11853654938408202, 0.22940178505569078]",2,"famous yellow ,little yellow ,deep yellow ,long yellow ,long yellow ,bright yellow ,big yellow ,golden yellow ,yellow brown ,empty yellow ,hard yellow ,gorgeous yellow ,brilliant yellow ,thick yellow ,bright yellow ,flat yellow ,long yellow ,bright yellow ,hard yellow ,pale yellow ,soft yellow ,long yellow ,bright yellow ,huge yellow ,bright yellow ,large yellow ,little yellow ,bright yellow ,tiny yellow ,little yellow ,thick yellow ,bright yellow ,tiny yellow ,dirty yellow ,dry yellow ,big yellow ,long yellow ,soft yellow ,sharp yellow ,pale yellow ,bright yellow ,small yellow ,nice yellow ,brilliant yellow ,bright yellow ,big yellow ,dirty yellow ,new yellow ,pale yellow ,huge yellow ,big yellow ,little yellow ,ancient yellow ,huge yellow ,bright yellow ,large yellow ,strange yellow ,big yellow ,old yellow ,golden yellow ,shiny yellow ,giant yellow ,bright yellow ,bright yellow ,tiny yellow ,long yellow ,giant yellow ,heavy yellow ,light yellow ,pale yellow ,strong yellow ,new yellow ,blue yellow ,beautiful yellow ,nice yellow ,yellow plastic ,large yellow ,pale yellow ,","little yellow ,long yellow ,bright yellow ,small yellow ,small yellow ,early yellow ,large yellow ,big yellow ,thin yellow ,bright yellow ,nice yellow ,dark yellow ,clear yellow ,"
bright,83,color,0.464,input,-0.00077241074697817502,0.33978510643209925,5.187158491363885e-09,0.00077241593413666639,"[0.9464285714285714, 0.11825496419871558, 0.40473905661770132]",2,"bright red ,big bright ,bright yellow ,bright blue ,bright red ,bright new ,bright blue ,bright yellow ,bright red ,bright red ,bright new ,bright green ,bright purple ,bright new ,bright yellow ,bright new ,bright red ,nice bright ,bright blue ,bright new ,bright blue ,bright yellow ,bright red ,bright yellow ,bright green ,bright blue ,bright red ,bright yellow ,bright blue ,bright yellow ,bright red ,bright green ,bright red ,bright red ,bright red ,bright red ,bright yellow ,bright red ,bright yellow ,bright red ,bright red ,bright green ,bright green ,bright blue ,bright red ,bright new ,bright blue ,bright red ,bright new ,bright green ,bright blue ,bright blue ,nice bright ,bright green ,bright red ,bright polar ,bright blue ,bright old ,bright yellow ,bright green ,bright red ,bright white ,bright new ,bright red ,bright red ,bright new ,bright red ,bright yellow ,bright red ,bright red ,bright yellow ,bright white ,bright green ,bright red ,bright wooden ,bright red ,bright brown ,bright blue ,bright green ,bright red ,bright green ,bright new ,nice bright ,","bright yellow ,bright red ,bright red ,bright red ,nice bright ,bright green ,bright blue ,bright blue ,bright yellow ,bright red ,bright green ,"
cold,12,physical,0.69,lexical,0.25023760113965793,0.30979745106964046,0.38865814102366769,0.13842053988400976,"[0.5769230769230769, 0.48104317335086566, 0.75235590620206005]",2,"cold blue ,cold old ,cold hard ,big cold ,cold blue ,dark cold ,nice cold ,cold blue ,hard cold ,horrid cold ,cold old ,cold green ,","nice cold ,cold new ,big cold ,"
perfect,6,value,0.493,sub,-0.020178920170060621,0.18476676384839641,0.29389446943758296,0.31407338960764358,"[0.9285714285714286, 0.8708123494635428, 0.42770600686081306]",2,"perfect human ,perfect small ,perfect green ,perfect brown ,perfect short ,perfect hard ,","perfect good ,normal perfect ,perfect smooth ,"
outer,30,location,0.306315789,input,3.0778060344860689e-05,0.89241532292627535,3.3958037087958561e-05,3.1799767430978701e-06,"[0.9838709677419355, 0.22991283966893722, 0.16392001757855415]",2,"outer western ,outer northern ,outer northern ,outer northern ,outer northern ,outer northern ,outer northern ,outer northern ,outer northern ,outer northern ,outer wooden ,outer northern ,outer northern ,outer northern ,outer northern ,outer northern ,outer northern ,outer northern ,outer northern ,outer northern ,outer northern ,outer northern ,outer northern ,outer northern ,outer blue ,outer northern ,outer northern ,outer northern ,outer northern ,outer wooden ,","outer northern ,outer northern ,outer wooden ,outer wooden ,outer northern ,outer wooden ,outer northern ,"
northern,51,location,0.299285714,input,-0.13033561043775768,0.70829306094290001,0.16183314426351667,0.29216875470127435,"[0.04807692307692308, 0.22907942105649842, 0.16119315259716405]",2,"inner northern ,inner northern ,inner northern ,inner northern ,inner northern ,outer northern ,inner northern ,outer northern ,outer northern ,outer northern ,outer northern ,outer northern ,outer northern ,outer northern ,inner northern ,outer northern ,inner northern ,inner northern ,inner northern ,inner northern ,outer northern ,outer northern ,outer northern ,inner northern ,northern regional ,outer northern ,outer northern ,outer northern ,outer northern ,outer northern ,outer northern ,outer northern ,inner northern ,outer northern ,outer northern ,outer northern ,inner northern ,inner northern ,inner northern ,inner northern ,northern blue ,inner northern ,outer northern ,outer northern ,inner northern ,inner northern ,inner northern ,outer northern ,outer northern ,inner northern ,inner northern ,","outer northern ,inner northern ,outer northern ,outer northern ,inner northern ,inner northern ,outer northern ,"
young,24,age,0.551538462,lexical,0.12162006824579319,0.42386400000000013,0.44147449260544924,0.31985442435965605,"[0.42, 0.36531284302963773, 0.56597145993413833]",2,"new young ,new young ,young red ,young green ,young hard ,nice young ,young black ,nice young ,nice young ,nice young ,new young ,small young ,young green ,young brown ,nice young ,young new ,young exciting ,new young ,good young ,new young ,young new ,stupid young ,nice young ,young black ,","nice young ,nice young ,young new ,"
